gsm,canon__disease,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__condition,raw__derived tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM4602978,Treatments with free fatty acid (1 mM),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,Caco2,Treatments with free fatty acid (1 mM),Human intestine,SRA,Caco-2  Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX8508316,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4602nnn/GSM4602978/suppl/GSM4602978_Caco2_MonoCul_FA.rep3.TPM.txt.gz,Caco2_MonoCul_FA.rep3
GSM4602979,Co-cultured with CaCO2 cells. No treatments with free fatty acid,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HepG2,Co-cultured with CaCO2 cells. No treatments with free fatty acid,Human hepatocellular carcinoma,SRA,Hep G2 Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX8508317,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4602nnn/GSM4602979/suppl/GSM4602979_HepG2_CoCul_Cont.rep1.TPM.txt.gz,HepG2_CoCul_Cont.rep1
GSM4602980,Co-cultured with CaCO2 cells. No treatments with free fatty acid,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HepG2,Co-cultured with CaCO2 cells. No treatments with free fatty acid,Human hepatocellular carcinoma,SRA,Hep G2 Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX8508318,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4602nnn/GSM4602980/suppl/GSM4602980_HepG2_CoCul_Cont.rep2.TPM.txt.gz,HepG2_CoCul_Cont.rep2
GSM4602981,Co-cultured with CaCO2 cells. No treatments with free fatty acid,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HepG2,Co-cultured with CaCO2 cells. No treatments with free fatty acid,Human hepatocellular carcinoma,SRA,Hep G2 Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX8508319,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4602nnn/GSM4602981/suppl/GSM4602981_HepG2_CoCul_Cont.rep3.TPM.txt.gz,HepG2_CoCul_Cont.rep3
GSM4602982,Co-cultured with CaCO2 cells. Treatment with free fatty acid (1 mM),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HepG2,Co-cultured with CaCO2 cells. Treatment with free fatty acid (1 mM),Human hepatocellular carcinoma,SRA,Hep G2 Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX8508320,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4602nnn/GSM4602982/suppl/GSM4602982_HepG2_CoCul_FA.rep1.TPM.txt.gz,HepG2_CoCul_FA.rep1
GSM4602983,Co-cultured with CaCO2 cells. Treatment with free fatty acid (1 mM),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HepG2,Co-cultured with CaCO2 cells. Treatment with free fatty acid (1 mM),Human hepatocellular carcinoma,SRA,Hep G2 Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX8508321,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4602nnn/GSM4602983/suppl/GSM4602983_HepG2_CoCul_FA.rep2.TPM.txt.gz,HepG2_CoCul_FA.rep2
GSM4602984,Co-cultured with CaCO2 cells. Treatment with free fatty acid (1 mM),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HepG2,Co-cultured with CaCO2 cells. Treatment with free fatty acid (1 mM),Human hepatocellular carcinoma,SRA,Hep G2 Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX8508322,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4602nnn/GSM4602984/suppl/GSM4602984_HepG2_CoCul_FA.rep3.TPM.txt.gz,HepG2_CoCul_FA.rep3
GSM4602985,No treatments with free fatty acid,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HepG2,No treatments with free fatty acid,Human hepatocellular carcinoma,SRA,Hep G2 Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX8508323,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4602nnn/GSM4602985/suppl/GSM4602985_HepG2_MonoCul_Cont.rep1.TPM.txt.gz,HepG2_MonoCul_Cont.rep1
GSM4602986,No treatments with free fatty acid,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HepG2,No treatments with free fatty acid,Human hepatocellular carcinoma,SRA,Hep G2 Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX8508324,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4602nnn/GSM4602986/suppl/GSM4602986_HepG2_MonoCul_Cont.rep2.TPM.txt.gz,HepG2_MonoCul_Cont.rep2
GSM4602987,No treatments with free fatty acid,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HepG2,No treatments with free fatty acid,Human hepatocellular carcinoma,SRA,Hep G2 Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX8508325,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4602nnn/GSM4602987/suppl/GSM4602987_HepG2_MonoCul_Cont.rep3.TPM.txt.gz,HepG2_MonoCul_Cont.rep3
GSM4602988,Treatments with free fatty acid (1 mM),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HepG2,Treatments with free fatty acid (1 mM),Human hepatocellular carcinoma,SRA,Hep G2 Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX8508326,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4602nnn/GSM4602988/suppl/GSM4602988_HepG2_MonoCul_FA.rep1.TPM.txt.gz,HepG2_MonoCul_FA.rep1
GSM4602989,Treatments with free fatty acid (1 mM),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HepG2,Treatments with free fatty acid (1 mM),Human hepatocellular carcinoma,SRA,Hep G2 Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX8508327,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4602nnn/GSM4602989/suppl/GSM4602989_HepG2_MonoCul_FA.rep2.TPM.txt.gz,HepG2_MonoCul_FA.rep2
GSM4602990,Treatments with free fatty acid (1 mM),Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,polyA RNA,Homo sapiens,GPL24676,HepG2,Treatments with free fatty acid (1 mM),Human hepatocellular carcinoma,SRA,Hep G2 Cell Line,https://www.ncbi.nlm.nih.gov/sra?term=SRX8508328,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4602nnn/GSM4602990/suppl/GSM4602990_HepG2_MonoCul_FA.rep3.TPM.txt.gz,HepG2_MonoCul_FA.rep3
