gsm,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__cell type,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM8729579,obese cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,obese cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340512,,"hepatocytes, obese cord plasma, 24hrs, 8"
GSM8729580,obese cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,obese cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340513,,"hepatocytes, obese cord plasma, 24hrs, 9"
GSM8729581,obese cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,obese cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340514,,"hepatocytes, obese cord plasma, 24hrs, 10"
GSM8729582,normal weight cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,normal weight cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340515,,"hepatocytes, normal weight cord plasma, 24hrs, 10"
GSM8729583,normal weight cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,normal weight cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340516,,"hepatocytes, normal weight cord plasma, 24hrs, 11"
GSM8729584,normal weight cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,normal weight cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340517,,"hepatocytes, normal weight cord plasma, 24hrs, 12"
GSM8729585,obese cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,obese cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340518,,"hepatocytes, obese cord plasma, 24hrs, 11"
GSM8729586,obese cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,obese cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340519,,"hepatocytes, obese cord plasma, 24hrs, 12"
GSM8729587,obese cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,obese cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340520,,"hepatocytes, obese cord plasma, 24hrs, 13"
GSM8729588,normal weight cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,normal weight cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340521,,"hepatocytes, normal weight cord plasma, 24hrs, 13"
GSM8729589,normal weight cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,normal weight cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340522,,"hepatocytes, normal weight cord plasma, 24hrs, 14"
GSM8729590,obese cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,obese cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340523,,"hepatocytes, obese cord plasma, 24hrs, 14"
GSM8729591,normal weight cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,normal weight cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340524,,"hepatocytes, normal weight cord plasma, 24hrs, 15"
GSM8729592,obese cord plasma,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepaRG cells,hepatocyte,obese cord plasma,SRA,HepaRG cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX27340525,,"hepatocytes, obese cord plasma, 24hrs, 15"
