gsm,canon__disease,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__condition,sample_type,source_name,sra_relation,supplementary_files,title
GSM4257073,MHO,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,MHO,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX7523623,,MHO11
GSM4257074,MHO,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,MHO,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX7523624,,MHO12
GSM4257075,MHO,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,MHO,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX7523625,,MHO13
GSM4257076,MHO,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,MHO,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX7523626,,MHO14
GSM4257077,MHO,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,MHO,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX7523627,,MHO15
GSM4257078,MUO,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,MUO,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX7523628,,MUO1
GSM4257079,MUO,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,MUO,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX7523629,,MUO2
GSM4257080,MUO,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,MUO,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX7523630,,MUO3
GSM4257081,MUO,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,MUO,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX7523631,,MUO4
GSM4257082,MUO,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,MUO,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX7523632,,MUO5
GSM4257083,MUO,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,MUO,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX7523633,,MUO6
GSM4257084,MUO,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL20301,MUO,SRA,Subcutaneous adipose tissue,https://www.ncbi.nlm.nih.gov/sra?term=SRX7523634,,MUO7
