gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM5135707,Liver MPS co-culture tissue,Reduced_NPC_Lean_Fructose,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Lean_Fructose,SRA,Liver_MPS_Reduced_NPC_Lean_Fructose,,,NAFT18015_P3A3_D14_171_S12
GSM5135708,Liver MPS co-culture tissue,Reduced_NPC_Fat_Fructose,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Fat_Fructose,SRA,Liver_MPS_Reduced_NPC_Fat_Fructose,,,NAFT18015_P3A5_D14_173_S15
GSM5135709,Liver MPS co-culture tissue,Reduced_NPC_Lean_LPS_TGF-B,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Lean_LPS_TGF-B,SRA,Liver_MPS_Reduced_NPC_Lean_LPS_TGF-B,,,NAFT18015_P3B2_D14_175_S18
GSM5135710,Liver MPS co-culture tissue,Reduced_NPC_Fat_LPS_TGF-B,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Fat_LPS_TGF-B,SRA,Liver_MPS_Reduced_NPC_Fat_LPS_TGF-B,,,NAFT18015_P3B4_D14_177_S21
GSM5135711,Liver MPS co-culture tissue,Reduced_NPC_Fat_LPS_TGF-B,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Fat_LPS_TGF-B,SRA,Liver_MPS_Reduced_NPC_Fat_LPS_TGF-B,,,NAFT18015_P3B6_D14_179_S24
GSM5135712,Liver MPS co-culture tissue,Lean_LPS,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Lean_LPS,SRA,Liver_MPS_Lean_LPS,,,NAFT18012_P1B2_D14_56_S8
GSM5135713,Liver MPS co-culture tissue,Fat_LPS,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Fat_LPS,SRA,Liver_MPS_Fat_LPS,,,NAFT18012_P1B6_D14_60_S11
GSM5135714,Liver MPS co-culture tissue,Fat_TGF-B,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Fat_TGF-B,SRA,Liver_MPS_Fat_TGF-B,,,NAFT18012_P2A4_D14_64_S14
GSM5135715,Liver MPS co-culture tissue,Lean_Fructose,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Lean_Fructose,SRA,Liver_MPS_Lean_Fructose,,,NAFT18012_P2B2_D14_68_S17
GSM5135716,Liver MPS co-culture tissue,Fat_Fructose,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Fat_Fructose,SRA,Liver_MPS_Fat_Fructose,,,NAFT18012_P2B6_D14_72_S20
GSM5135717,Liver MPS co-culture tissue,Fat_LPS_TGF-B,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Fat_LPS_TGF-B,SRA,Liver_MPS_Fat_LPS_TGF-B,,,NAFT18012_P3A4_D14_76_S23
GSM5135718,Liver MPS co-culture tissue,Reduced_NPC_Lean,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Lean,SRA,Liver_MPS_Reduced_NPC_Lean,,,NAFT18012_P3B2_D14_80_S3
GSM5135719,Liver MPS co-culture tissue,Reduced_NPC_Fat,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Reduced_NPC_Fat,SRA,Liver_MPS_Reduced_NPC_Fat,,,NAFT18012_P3B6_D14_84_S6
GSM5135720,Liver MPS co-culture tissue,Fat_LPS_Fructose,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL18573,Liver MPS co-culture tissue,Fat_LPS_Fructose,SRA,Liver_MPS_Fat_LPS_Fructose,,,NAFT18013_P1B4_D14_10_S1
