gsm,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__cell type,raw__genotype,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM7730209,1mM FFA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2 cells,liver,MSssI  DNMT overxpressing,1mM FFA,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX21466953,,MSSSI_FFA_2
GSM7730210,1mM FFA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2 cells,liver,MSssI  DNMT overxpressing,1mM FFA,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX21466954,,MSSSI_FFA_3
GSM7730211,1mM FFA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2 cells,liver,MSssI  DNMT overxpressing,1mM FFA,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX21466955,,MSSSI_FFA_4
GSM7730212,none,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2 cells,liver,MCviPI DNMT overxpressing,none,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX21466962,,MCviPI_1
GSM7730213,none,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2 cells,liver,MCviPI DNMT overxpressing,none,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX21466956,,MCviPI_2
GSM7730214,none,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2 cells,liver,MCviPI DNMT overxpressing,none,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX21466957,,MCviPI_3
GSM7730215,none,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2 cells,liver,MCviPI DNMT overxpressing,none,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX21466961,,MCviPI_4
GSM7730216,1mM FFA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2 cells,liver,MCviPI DNMT overxpressing,1mM FFA,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX21466958,,MCviPI_FFA_1
GSM7730217,1mM FFA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2 cells,liver,MCviPI DNMT overxpressing,1mM FFA,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX21466959,,MCviPI_FFA_2
GSM7730218,1mM FFA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2 cells,liver,MCviPI DNMT overxpressing,1mM FFA,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX21466963,,MCviPI_FFA_3
GSM7730219,1mM FFA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,HepG2 cells,liver,MCviPI DNMT overxpressing,1mM FFA,SRA,HepG2 cells,https://www.ncbi.nlm.nih.gov/sra?term=SRX21466960,,MCviPI_FFA_4
