gsm,canon__sex,canon__stage,canon__steatosis_grade,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__Sex,raw__Stage,raw__balloning,raw__cell line,raw__cell type,raw__chip antibody,raw__fibrosis nas_tidy,raw__genotype,raw__lobular inflammation,raw__lobular necrosis,raw__steatosis,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM8260221,F,NASH_F0,3,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F0,2,,,H3K27ac,0,,2,1,3,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510393,,GTX889_nash_f0_H3K27ac_cutrun
GSM8260222,M,NASH_F1,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,M,NASH_F1,2,,,H3K27ac,1,,1,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510394,,CUG491_nash_f1_H3K27ac_cutrun
GSM8260223,F,NASH_F23,3,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F23,2,,,H3K27ac,2,,2,2,3,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510395,,PWQ681_nash_f23_H3K27ac_cutrun
GSM8260224,F,NAFL,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NAFL,0,,,H3K27ac,0,,0,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510396,,YRI137_nafl_H3K27ac_cutrun
GSM8260225,F,NOR,0,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NOR,0,,,H3K27ac,0,,0,0,0,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510397,,FSM684_nor_H3K27ac_cutrun
GSM8260226,F,NASH_F1,3,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F1,1,,,H3K27ac,1,,2,2,3,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510398,,HML208_nash_f1_H3K27ac_cutrun
GSM8260227,F,NAFL,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NAFL,0,,,H3K27ac,0,,1,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510399,,TTG258_nafl_H3K27ac_cutrun
GSM8260228,M,NASH_F0,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,M,NASH_F0,1,,,H3K27ac,0,,1,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510400,,IOA210_nash_f0_H3K27ac_cutrun
GSM8260229,F,NAFL,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NAFL,0,,,H3K27ac,0,,0,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510401,,GNK557_nafl_H3K27ac_cutrun
GSM8260230,F,NASH_F23,1,Liver,,Illumina NovaSeq 6000,other,genomic,OTHER,genomic DNA,Homo sapiens,GPL24676,F,NASH_F23,1,,,H3K27ac,2,,1,0,1,Liver,,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX24510402,,PGH821_nash_f23_H3K27ac_cutrun
