gsm,canon__age,canon__sex,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__Sex,raw__age,raw__diet,raw__drug treatment,raw__genotype,raw__strain,raw__streptozotocin treatment,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM7865163,50 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,50 weeks,"HFD for 24 weeks, then changed to SCD for 18 weeks",Untreated,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224793,,"STZ+HFD model, 50w, dietary change to SCD for 18 weeks, biological replication 4"
GSM7865164,32 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,32 weeks,HFD,Vehicle,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224794,,"STZ+HFD model, 32w, treated with control vehicle for 11 weeks, biological replication 1"
GSM7865165,32 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,32 weeks,HFD,Vehicle,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224795,,"STZ+HFD model, 32w, treated with control vehicle for 11 weeks, biological replication 2"
GSM7865166,32 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,32 weeks,HFD,Vehicle,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224796,,"STZ+HFD model, 32w, treated with control vehicle for 11 weeks, biological replication 3"
GSM7865167,32 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,32 weeks,HFD,Vehicle,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224797,,"STZ+HFD model, 32w, treated with control vehicle for 11 weeks, biological replication 4"
GSM7865168,32 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,32 weeks,HFD,Vehicle,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224798,,"STZ+HFD model, 32w, treated with control vehicle for 11 weeks, biological replication 5"
GSM7865169,32 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,32 weeks,HFD,Tirzepatide,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224799,,"STZ+HFD model, 32w, treated with tirzepatide (109.5 nmol/kg) for 11 weeks, biological replication 1"
GSM7865170,32 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,32 weeks,HFD,Tirzepatide,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224800,,"STZ+HFD model, 32w, treated with tirzepatide (109.5 nmol/kg) for 11 weeks, biological replication 2"
GSM7865171,32 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,32 weeks,HFD,Tirzepatide,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224801,,"STZ+HFD model, 32w, treated with tirzepatide (109.5 nmol/kg) for 11 weeks, biological replication 3"
GSM7865172,32 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,32 weeks,HFD,Tirzepatide,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224802,,"STZ+HFD model, 32w, treated with tirzepatide (109.5 nmol/kg) for 11 weeks, biological replication 4"
GSM7865173,32 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,32 weeks,HFD,Tirzepatide,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224803,,"STZ+HFD model, 32w, treated with tirzepatide (109.5 nmol/kg) for 11 weeks, biological replication 5"
GSM7865174,38 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,38 weeks,HFD,Vehicle,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224804,,"STZ+HFD model, 38w, treated with control vehicle for 10 weeks, biological replication 1"
GSM7865175,38 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,38 weeks,HFD,Vehicle,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224805,,"STZ+HFD model, 38w, treated with control vehicle for 10 weeks, biological replication 2"
GSM7865176,38 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,38 weeks,HFD,Vehicle,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224806,,"STZ+HFD model, 38w, treated with control vehicle for 10 weeks, biological replication 3"
GSM7865177,38 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,38 weeks,HFD,Vehicle,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224854,,"STZ+HFD model, 38w, treated with control vehicle for 10 weeks, biological replication 4"
GSM7865178,38 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,38 weeks,HFD,Tirzepatide,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224855,,"STZ+HFD model, 38w, treated with tirzepatide (109.5 nmol/kg) for 10 weeks, biological replication 1"
GSM7865179,38 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,38 weeks,HFD,Tirzepatide,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224856,,"STZ+HFD model, 38w, treated with tirzepatide (109.5 nmol/kg) for 10 weeks, biological replication 2"
GSM7865180,38 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,38 weeks,HFD,Tirzepatide,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224857,,"STZ+HFD model, 38w, treated with tirzepatide (109.5 nmol/kg) for 10 weeks, biological replication 3"
GSM7865181,38 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,38 weeks,HFD,Tirzepatide,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224858,,"STZ+HFD model, 38w, treated with tirzepatide (109.5 nmol/kg) for 10 weeks, biological replication 4"
GSM7865182,52 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,52 weeks,HFD,Vehicle,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224859,,"STZ+HFD model, 52w, treated with control vehicle for 11 weeks, biological replication 1"
GSM7865183,52 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,52 weeks,HFD,Vehicle,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224860,,"STZ+HFD model, 52w, treated with control vehicle for 11 weeks, biological replication 2"
GSM7865184,52 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,52 weeks,HFD,Vehicle,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224861,,"STZ+HFD model, 52w, treated with control vehicle for 11 weeks, biological replication 3"
GSM7865185,52 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,52 weeks,HFD,Vehicle,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224862,,"STZ+HFD model, 52w, treated with control vehicle for 11 weeks, biological replication 4"
GSM7865186,52 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,52 weeks,HFD,Tirzepatide,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224863,,"STZ+HFD model, 52w, treated with tirzepatide (109.5 nmol/kg) for 11 weeks, biological replication 1"
GSM7865187,52 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,52 weeks,HFD,Tirzepatide,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224864,,"STZ+HFD model, 52w, treated with tirzepatide (109.5 nmol/kg) for 11 weeks, biological replication 2"
GSM7865188,52 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,52 weeks,HFD,Tirzepatide,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224865,,"STZ+HFD model, 52w, treated with tirzepatide (109.5 nmol/kg) for 11 weeks, biological replication 3"
GSM7865189,52 weeks,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Male,52 weeks,HFD,Tirzepatide,WT,C57BL/6J,Treated,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224866,,"STZ+HFD model, 52w, treated with tirzepatide (109.5 nmol/kg) for 11 weeks, biological replication 4"
GSM7865190,,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Male,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224867,,"Healthy liver donor, biological replication 1"
GSM7865191,,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Male,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224868,,"Healthy liver donor, biological replication 2"
GSM7865192,,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Male,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224869,,"Healthy liver donor, biological replication 3"
GSM7865193,,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Male,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224870,,"Healthy liver donor, biological replication 4"
GSM7865194,,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Male,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224871,,"NAFLD patient, NAFLD activity score 2-3, fibrosis stage 1, biological replication 1"
GSM7865195,,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Male,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224872,,"NAFLD patient, NAFLD activity score 2-3, fibrosis stage 1, biological replication 2"
GSM7865196,,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Male,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224873,,"NAFLD patient, NAFLD activity score 2-3, fibrosis stage 1, biological replication 3"
GSM7865197,,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Male,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224874,,"NAFLD patient, NAFLD activity score 2-3, fibrosis stage 1, biological replication 4"
GSM7865198,,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Male,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224875,,"NAFLD patient, NAFLD activity score 2-3, fibrosis stage 1, biological replication 5"
GSM7865199,,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Male,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224807,,"NAFLD patient, NAFLD activity score 2-3, fibrosis stage 1, biological replication 6"
GSM7865200,,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Male,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224808,,"NAFLD patient, NAFLD activity score 5-6, fibrosis stage 1, biological replication 1"
GSM7865201,,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Male,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224809,,"NAFLD patient, NAFLD activity score 5-6, fibrosis stage 1, biological replication 2"
GSM7865202,,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Male,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224810,,"NAFLD patient, NAFLD activity score 5-6, fibrosis stage 1, biological replication 3"
GSM7865203,,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Male,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224811,,"NAFLD patient, NAFLD activity score 5-6, fibrosis stage 1, biological replication 4"
GSM7865204,,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Male,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224812,,"NAFLD patient, NAFLD activity score 5-6, fibrosis stage 1, biological replication 5"
GSM7865205,,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Male,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224813,,"NAFLD patient, NAFLD activity score 5-6, fibrosis stage 2, biological replication 1"
GSM7865206,,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Male,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224814,,"NAFLD patient, NAFLD activity score 5-6, fibrosis stage 2, biological replication 2"
GSM7865207,,Male,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Male,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224815,,"NAFLD patient, NAFLD activity score 5-6, fibrosis stage 2, biological replication 3"
GSM7865208,,Female,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Female,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224816,,"NAFLD patient, NAFLD activity score 5-6, fibrosis stage 2, biological replication 4"
GSM7865209,,Female,Liver,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,Female,,,,,,,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX22224817,,"NAFLD patient, NAFLD activity score 5-6, fibrosis stage 2, biological replication 5"
