gsm,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__digestion method,raw__number of added abs,raw__number of cells,raw__platform,raw__shortfilename,raw__strain,sample_type,source_name,sra_relation,supplementary_files,title
GSM5764242,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Nuclei,0,3347,10x Genomics – v3,ABU11,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549161,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764242/suppl/GSM5764242_filtered_feature_bc_matrix_ABU11.h5,Healthy Mouse Liver Nuclei_Mouse_001_Sample_001
GSM5764243,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Nuclei,0,1386,10x Genomics – v3,ABU12,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549162,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764243/suppl/GSM5764243_filtered_feature_bc_matrix_ABU12.h5,Healthy Mouse Liver Nuclei_Mouse_001_Sample_002
GSM5764244,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Nuclei,0,1320,10x Genomics – v3,ABU13,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549163,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764244/suppl/GSM5764244_filtered_feature_bc_matrix_ABU13.h5,Healthy Mouse Liver Nuclei_Mouse_001_Sample_003
GSM5764245,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Nuclei,0,2330,10x Genomics – v3.1,ABU17,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549164,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764245/suppl/GSM5764245_filtered_feature_bc_matrix_ABU17.h5,Healthy Mouse Liver Nuclei_Mouse_002_Sample_001
GSM5764246,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Nuclei,0,732,10x Genomics – v3.1,ABU18,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549165,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764246/suppl/GSM5764246_filtered_feature_bc_matrix_ABU18.h5,Healthy Mouse Liver Nuclei_Mouse_003_Sample_001
GSM5764247,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Nuclei,0,3641,10x Genomics – v3.1,ABU19,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549166,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764247/suppl/GSM5764247_filtered_feature_bc_matrix_ABU19.h5,Healthy Mouse Liver Nuclei_Mouse_002_Sample_002
GSM5764248,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Nuclei,0,95,10x Genomics – v3,ABU1,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549167,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764248/suppl/GSM5764248_filtered_feature_bc_matrix_ABU1.h5,Healthy Mouse Liver Nuclei_Mouse_004_Sample_001
GSM5764249,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Nuclei,0,8771,10x Genomics – v3.1,ABU20,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549168,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764249/suppl/GSM5764249_filtered_feature_bc_matrix_ABU20.h5,Healthy Mouse Liver Nuclei_Mouse_003_Sample_002
GSM5764250,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Nuclei,0,11015,10x Genomics – v3.1,ABU21,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549169,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764250/suppl/GSM5764250_filtered_feature_bc_matrix_ABU21.h5,Healthy Mouse Liver Capsule Nuclei_Mouse_001_Sample_001
GSM5764251,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Nuclei,0,1239,10x Genomics – v3,ABU2,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549170,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764251/suppl/GSM5764251_filtered_feature_bc_matrix_ABU2.h5,Healthy Mouse Liver Nuclei_Mouse_004_Sample_002
GSM5764252,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Nuclei,0,2271,10x Genomics – v3,ABU7,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549171,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764252/suppl/GSM5764252_filtered_feature_bc_matrix_ABU7.h5,Healthy Mouse Liver Nuclei_Mouse_004_Sample_003
GSM5764253,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Nuclei,0,991,10x Genomics – v3,ABU9,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549172,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764253/suppl/GSM5764253_filtered_feature_bc_matrix_ABU9.h5,Healthy Mouse Liver Nuclei_Mouse_004_Sample_004
GSM5764254,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL21103,Ex Vivo,107,5732,10x Genomics – v2,ARE1,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549173,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764254/suppl/GSM5764254_filtered_feature_bc_matrix_ARE1.txt.gz,Standard diet fed (12 weeks) Liver Myeloid cells_Mouse_001_Sample_001
GSM5764255,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL21103,Ex Vivo,107,7375,10x Genomics – v2,ARE6,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549174,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764255/suppl/GSM5764255_filtered_feature_bc_matrix_ARE6.txt.gz,Standard diet fed (12 weeks) Liver CD45+ cells_Mouse_001_Sample_001
GSM5764256,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL21103,Ex Vivo,107,7418,10x Genomics – v2,ARE7,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549175,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764256/suppl/GSM5764256_filtered_feature_bc_matrix_ARE7.txt.gz,Standard diet fed (12 weeks) Liver CD45+ cells_Mouse_001_Sample_002
GSM5764257,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL21103,Ex Vivo,107,8065,10x Genomics – v2,ARE8,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549176,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764257/suppl/GSM5764257_filtered_feature_bc_matrix_ARE8.txt.gz,Standard diet fed (12 weeks) Liver CD45+ cells_Mouse_001_Sample_003
GSM5764258,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL21103,Ex Vivo,107,5700,10x Genomics – v2,CISE12,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549177,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764258/suppl/GSM5764258_filtered_feature_bc_matrix_CISE12.txt.gz,"PBS Oral Gavage, 24hours, Liver CD45+ cells_Mouse_001_Sample_001"
GSM5764259,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL21103,Ex Vivo,107,5720,10x Genomics – v2,CISE13,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549178,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764259/suppl/GSM5764259_filtered_feature_bc_matrix_CISE13.txt.gz,"PBS Oral Gavage, 24hours, Liver Myeloid cells_Mouse_001_Sample_001"
GSM5764260,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL21103,In Vivo,115,8934,10x Genomics – v3,CS114,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549179,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764260/suppl/GSM5764260_filtered_feature_bc_matrix_CS114.txt.gz,Standard diet fed (12 weeks) Liver CD45- cells_Mouse_002_Sample_001
GSM5764261,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL21103,In Vivo,115,11702,10x Genomics – v3,CS115,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549180,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764261/suppl/GSM5764261_filtered_feature_bc_matrix_CS115.txt.gz,Standard diet fed (12 weeks) Liver CD45+ cells_Mouse_002_Sample_001
GSM5764262,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL21103,Ex Vivo,0,5106,10x Genomics – v2,CS14,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549181,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764262/suppl/GSM5764262_filtered_feature_bc_matrix_CS14.h5,Standard diet fed (12 weeks) Liver monos+macs_Mouse_003_Sample_001
GSM5764263,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL21103,Ex Vivo,0,8504,10x Genomics – v2,CS16,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549182,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764263/suppl/GSM5764263_filtered_feature_bc_matrix_CS16.h5,Standard diet fed (12 weeks) Liver DCs_Mouse_003_Sample_001
GSM5764264,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL21103,In Vivo,0,3886,10x Genomics – v3,CS48,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549183,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764264/suppl/GSM5764264_filtered_feature_bc_matrix_CS48.h5,"PBS Oral Gavage, 24hours, Liver Hepatocytes_Mouse_002_Sample_001"
GSM5764265,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL21103,In Vivo,0,7505,10x Genomics – v3,CS52,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549184,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764265/suppl/GSM5764265_filtered_feature_bc_matrix_CS52.h5,"PBS Oral Gavage, 24hours, Liver CD45- cells_Mouse_002_Sample_001"
GSM5764266,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL21103,In Vivo,0,11735,10x Genomics – v3,CS53,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549185,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764266/suppl/GSM5764266_filtered_feature_bc_matrix_CS53.h5,"PBS Oral Gavage, 24hours, Liver CD45+ cells_Mouse_002_Sample_001"
GSM5764267,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL21103,In Vivo,114,17730,10x Genomics – v3,CS62,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549186,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764267/suppl/GSM5764267_filtered_feature_bc_matrix_CS62.txt.gz,"PBS Oral Gavage, 24hours, Liver CD45+ Lineage-  cells_Mouse_002_Sample_001"
GSM5764268,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL21103,In Vivo,0,11887,10x Genomics – v3,CS88,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549187,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764268/suppl/GSM5764268_filtered_feature_bc_matrix_CS88.h5,Healthy Mouse Liver CD45- Cells_Mouse_001_Sample_001
GSM5764269,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL21103,In Vivo,0,10892,10x Genomics – v3,CS89,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549188,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764269/suppl/GSM5764269_filtered_feature_bc_matrix_CS89.h5,Healthy Mouse Liver CD45+ Cells_Mouse_001_Sample_001
GSM5764270,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL21103,Ex Vivo,0,3735,10x Genomics – v3,CS90,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549189,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764270/suppl/GSM5764270_filtered_feature_bc_matrix_CS90.h5,Healthy Mouse Liver CD45- Cells_Mouse_002_Sample_001
GSM5764271,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL21103,Ex Vivo,0,5910,10x Genomics – v3,CS91,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549190,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764271/suppl/GSM5764271_filtered_feature_bc_matrix_CS91.h5,Healthy Mouse Liver CD45+ Cells_Mouse_002_Sample_001
GSM5764272,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL21103,In Vivo,0,12722,10x Genomics – v3,CS92,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549191,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764272/suppl/GSM5764272_filtered_feature_bc_matrix_CS92.h5,Healthy Mouse Liver CD45- Cells_Mouse_001_Sample_002
GSM5764273,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL21103,In Vivo,115,16729,10x Genomics – v3,CS93,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549192,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764273/suppl/GSM5764273_filtered_feature_bc_matrix_CS93.txt.gz,Healthy Mouse Liver CD45+ Cells_Mouse_001_Sample_002
GSM5764274,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL21103,Ex Vivo,0,5465,10x Genomics – v3,CS94,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549193,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764274/suppl/GSM5764274_filtered_feature_bc_matrix_CS94.h5,Healthy Mouse Liver CD45- Cells_Mouse_002_Sample_002
GSM5764275,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL21103,Ex Vivo,115,12379,10x Genomics – v3,CS95,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549194,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764275/suppl/GSM5764275_filtered_feature_bc_matrix_CS95.txt.gz,Healthy Mouse Liver CD45+ Cells_Mouse_002_Sample_002
GSM5764276,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL21103,In Vivo,0,21140,10x Genomics – v3,CS96,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549195,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764276/suppl/GSM5764276_filtered_feature_bc_matrix_CS96.h5,Healthy Mouse Liver CD45- Cells_Mouse_001_Sample_003
GSM5764277,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL21103,In Vivo,0,16825,10x Genomics – v3,CS97,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549196,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764277/suppl/GSM5764277_filtered_feature_bc_matrix_CS97.h5,Healthy Mouse Liver CD45+ Cells_Mouse_001_Sample_003
GSM5764278,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL21103,Ex Vivo,0,12604,10x Genomics – v3,CS98,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549197,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764278/suppl/GSM5764278_filtered_feature_bc_matrix_CS98.h5,Healthy Mouse Liver CD45- Cells_Mouse_002_Sample_003
GSM5764279,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL21103,Ex Vivo,0,16935,10x Genomics – v3,CS99,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549198,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764279/suppl/GSM5764279_filtered_feature_bc_matrix_CS99.h5,Healthy Mouse Liver CD45+ Cells_Mouse_002_Sample_003
GSM5764280,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,In Vivo,169,9460,10x Genomics – v3.1,CS136,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549199,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764280/suppl/GSM5764280_filtered_feature_bc_matrix_CS136.txt.gz,Healthy Mouse Liver CD45+ Cells_Pre-stained_Mouse_003_Sample_001
GSM5764281,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,In Vivo,169,7248,10x Genomics – v3.1,CS137,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549200,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764281/suppl/GSM5764281_filtered_feature_bc_matrix_CS137.txt.gz,Healthy Mouse Liver CD45- Cells_Pre-stained_Mouse_003_Sample_001
GSM5764282,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,In Vivo,169,13914,10x Genomics – v3.1,CS138,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549201,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764282/suppl/GSM5764282_filtered_feature_bc_matrix_CS138.txt.gz,Healthy Mouse Liver CD45+ Cells_Mouse_003_Sample_002
GSM5764283,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,In Vivo,169,11593,10x Genomics – v3.1,CS139,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549202,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764283/suppl/GSM5764283_filtered_feature_bc_matrix_CS139.txt.gz,Healthy Mouse Liver CD45- Cells_Mouse_003_Sample_002
GSM5764284,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,In Vivo,169,7743,10x Genomics – v3.1,CS140,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549203,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764284/suppl/GSM5764284_filtered_feature_bc_matrix_CS140.txt.gz,Healthy Mouse Liver Hepatocytes_Mouse_003_Sample_001
GSM5764285,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,Ex Vivo,169,9738,10x Genomics – v3.1,CS141,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549204,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764285/suppl/GSM5764285_filtered_feature_bc_matrix_CS141.txt.gz,Healthy Mouse Liver CD45+ Cells_Mouse_004_Sample_001
GSM5764286,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Mus musculus,GPL24247,In Vivo,169,14129,10x Genomics – v3.1,CS142,C57Bl/6,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX13549205,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5764nnn/GSM5764286/suppl/GSM5764286_filtered_feature_bc_matrix_CS142.txt.gz,Healthy Mouse Liver Capsule CD45+ Cells_Mouse_005_Sample_001
