gsm,canon__disease,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell type,raw__disease state,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM8292412,MASH,Duodenum,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,tissue (biopsy),MASH,Duodenum,SRA,Duodenum,https://www.ncbi.nlm.nih.gov/sra?term=SRX24727853,,MASH 6-A32
GSM8292413,MASH,Duodenum,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,tissue (biopsy),MASH,Duodenum,SRA,Duodenum,https://www.ncbi.nlm.nih.gov/sra?term=SRX24727854,,MASH 7-A33
GSM8292414,MASH,Duodenum,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,tissue (biopsy),MASH,Duodenum,SRA,Duodenum,https://www.ncbi.nlm.nih.gov/sra?term=SRX24727855,,MASH 8-A34
GSM8292415,MASH,Duodenum,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,tissue (biopsy),MASH,Duodenum,SRA,Duodenum,https://www.ncbi.nlm.nih.gov/sra?term=SRX24727856,,MASH 9-A35
GSM8292416,MASH,Duodenum,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,tissue (biopsy),MASH,Duodenum,SRA,Duodenum,https://www.ncbi.nlm.nih.gov/sra?term=SRX24727857,,MASH 10-A36
GSM8292417,MASH,Duodenum,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,tissue (biopsy),MASH,Duodenum,SRA,Duodenum,https://www.ncbi.nlm.nih.gov/sra?term=SRX24727858,,MASH 11-A37
GSM8292418,MASH,Duodenum,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,tissue (biopsy),MASH,Duodenum,SRA,Duodenum,https://www.ncbi.nlm.nih.gov/sra?term=SRX24727859,,MASH 12-A38
GSM8292419,MASH,Duodenum,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,tissue (biopsy),MASH,Duodenum,SRA,Duodenum,https://www.ncbi.nlm.nih.gov/sra?term=SRX24727860,,MASH 13-A39
GSM8292420,Controls,Duodenum,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,tissue (biopsy),Controls,Duodenum,SRA,Duodenum,https://www.ncbi.nlm.nih.gov/sra?term=SRX24727861,,Ctrl 1-A40
GSM8292421,Controls,Duodenum,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,tissue (biopsy),Controls,Duodenum,SRA,Duodenum,https://www.ncbi.nlm.nih.gov/sra?term=SRX24727862,,Ctrl 3-A41
GSM8292422,Controls,Duodenum,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,tissue (biopsy),Controls,Duodenum,SRA,Duodenum,https://www.ncbi.nlm.nih.gov/sra?term=SRX24727863,,Ctrl 4-A43
GSM8292423,Controls,Duodenum,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,tissue (biopsy),Controls,Duodenum,SRA,Duodenum,https://www.ncbi.nlm.nih.gov/sra?term=SRX24727864,,Ctrl 5-A44
GSM8292424,Controls,Duodenum,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,tissue (biopsy),Controls,Duodenum,SRA,Duodenum,https://www.ncbi.nlm.nih.gov/sra?term=SRX24727865,,Ctrl 6-A45
GSM8292425,Controls,Duodenum,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,tissue (biopsy),Controls,Duodenum,SRA,Duodenum,https://www.ncbi.nlm.nih.gov/sra?term=SRX24727866,,Ctrl 7-A46
GSM8292426,Controls,Duodenum,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,tissue (biopsy),Controls,Duodenum,SRA,Duodenum,https://www.ncbi.nlm.nih.gov/sra?term=SRX24727867,,Ctrl 8-A47
GSM8292427,Controls,Duodenum,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,tissue (biopsy),Controls,Duodenum,SRA,Duodenum,https://www.ncbi.nlm.nih.gov/sra?term=SRX24727868,,Ctrl 9-A48
GSM8292428,Controls,Duodenum,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,tissue (biopsy),Controls,Duodenum,SRA,Duodenum,https://www.ncbi.nlm.nih.gov/sra?term=SRX24727869,,Ctrl 10-A49
GSM8292429,Controls,Duodenum,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,tissue (biopsy),Controls,Duodenum,SRA,Duodenum,https://www.ncbi.nlm.nih.gov/sra?term=SRX24727870,,Ctrl 11-A50
GSM8292430,Controls,Duodenum,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,tissue (biopsy),Controls,Duodenum,SRA,Duodenum,https://www.ncbi.nlm.nih.gov/sra?term=SRX24727871,,Ctrl 12-A51
GSM8292431,Controls,Duodenum,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,tissue (biopsy),Controls,Duodenum,SRA,Duodenum,https://www.ncbi.nlm.nih.gov/sra?term=SRX24727872,,Ctrl 13-A52
