gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__cell type,raw__genotype,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM8139632,Human liver cancer cell line,"oleic acid,24h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,"oleic acid,24h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898167,,WT 24hr biol rep1
GSM8139633,Human liver cancer cell line,"oleic acid,24h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,"oleic acid,24h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898168,,WT 24hr biol rep2
GSM8139634,Human liver cancer cell line,untreated,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,untreated,SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898169,,I148M untreated biol rep1
GSM8139635,Human liver cancer cell line,untreated,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,untreated,SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898170,,I148M untreated biol rep2
GSM8139636,Human liver cancer cell line,untreated,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,untreated,SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898171,,I148M untreated biol rep3
GSM8139637,Human liver cancer cell line,"oleic acid,0.5h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,"oleic acid,0.5h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898172,,I148M 30min biol rep1
GSM8139638,Human liver cancer cell line,"oleic acid,0.5h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,"oleic acid,0.5h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898173,,I148M 30min biol rep2
GSM8139639,Human liver cancer cell line,"oleic acid,0.5h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,"oleic acid,0.5h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898174,,I148M 30min biol rep3
GSM8139640,Human liver cancer cell line,"oleic acid,1h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,"oleic acid,1h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898175,,I148M 1hr biol rep1
GSM8139641,Human liver cancer cell line,"oleic acid,1h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,"oleic acid,1h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898176,,I148M 1hr biol rep2
GSM8139642,Human liver cancer cell line,"oleic acid,1h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,"oleic acid,1h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898177,,I148M 1hr biol rep3
GSM8139643,Human liver cancer cell line,"oleic acid,2h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,"oleic acid,2h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898178,,I148M 2hr biol rep1
GSM8139644,Human liver cancer cell line,"oleic acid,2h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,"oleic acid,2h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898179,,I148M 2hr biol rep2
GSM8139645,Human liver cancer cell line,"oleic acid,2h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,"oleic acid,2h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898180,,I148M 2hr biol rep3
GSM8139646,Human liver cancer cell line,"oleic acid,4h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,"oleic acid,4h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898181,,I148M 4hr biol rep1
GSM8139647,Human liver cancer cell line,"oleic acid,4h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,"oleic acid,4h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898182,,I148M 4hr biol rep2
GSM8139648,Human liver cancer cell line,"oleic acid,4h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,"oleic acid,4h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898183,,I148M 4hr biol rep3
GSM8139649,Human liver cancer cell line,"oleic acid,24h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,"oleic acid,24h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898184,,I148M 24hr biol rep1
GSM8139650,Human liver cancer cell line,"oleic acid,24h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,"oleic acid,24h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898185,,I148M 24hr biol rep2
GSM8139651,Human liver cancer cell line,"oleic acid,24h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,"oleic acid,24h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898186,,I148M 24hr biol rep3
GSM8139652,Human liver cancer cell line,untreated,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,untreated,SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898187,,WT untreated biol rep3
GSM8139653,Human liver cancer cell line,untreated,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,untreated,SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898188,,WT untreated biol rep4
GSM8139654,Human liver cancer cell line,untreated,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,untreated,SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898189,,WT untreated biol rep5
GSM8139655,Human liver cancer cell line,"oleic acid,0.5h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,"oleic acid,0.5h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898190,,WT 30min biol rep3
GSM8139656,Human liver cancer cell line,"oleic acid,0.5h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,"oleic acid,0.5h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898191,,WT 30min biol rep4
GSM8139657,Human liver cancer cell line,"oleic acid,0.5h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,"oleic acid,0.5h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898192,,WT 30min biol rep5
GSM8139658,Human liver cancer cell line,"oleic acid,1h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,"oleic acid,1h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898193,,WT 1hr biol rep3
GSM8139659,Human liver cancer cell line,"oleic acid,1h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,"oleic acid,1h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898194,,WT 1hr biol rep4
GSM8139660,Human liver cancer cell line,"oleic acid,1h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,"oleic acid,1h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898195,,WT 1hr biol rep5
GSM8139661,Human liver cancer cell line,"oleic acid,2h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,"oleic acid,2h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898196,,WT 2hr biol rep3
GSM8139662,Human liver cancer cell line,"oleic acid,2h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,"oleic acid,2h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898197,,WT 2hr biol rep4
GSM8139663,Human liver cancer cell line,"oleic acid,2h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,"oleic acid,2h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898198,,WT 2hr biol rep5
GSM8139664,Human liver cancer cell line,"oleic acid,4h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,"oleic acid,4h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898199,,WT 4hr biol rep3
GSM8139665,Human liver cancer cell line,"oleic acid,4h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,"oleic acid,4h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898200,,WT 4hr biol rep4
GSM8139666,Human liver cancer cell line,"oleic acid,4h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,"oleic acid,4h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898201,,WT 4hr biol rep5
GSM8139667,Human liver cancer cell line,"oleic acid,24h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,"oleic acid,24h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898202,,WT 24hr biol rep3
GSM8139668,Human liver cancer cell line,"oleic acid,24h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,"oleic acid,24h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898203,,WT 24hr biol rep4
GSM8139669,Human liver cancer cell line,"oleic acid,24h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,wild-type PNPLA3,Human liver cancer cell line,"oleic acid,24h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898204,,WT 24hr biol rep5
GSM8139670,Human liver cancer cell line,untreated,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,untreated,SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898205,,I148M untreated biol rep4
GSM8139671,Human liver cancer cell line,untreated,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,untreated,SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898206,,I148M untreated biol rep5
GSM8139672,Human liver cancer cell line,"oleic acid,0.5h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,"oleic acid,0.5h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898207,,I148M 30min biol rep4
GSM8139673,Human liver cancer cell line,"oleic acid,0.5h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,"oleic acid,0.5h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898208,,I148M 30min biol rep5
GSM8139674,Human liver cancer cell line,"oleic acid,1h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,"oleic acid,1h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898209,,I148M 1hr biol rep4
GSM8139675,Human liver cancer cell line,"oleic acid,1h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,"oleic acid,1h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898210,,I148M 1hr biol rep5
GSM8139676,Human liver cancer cell line,"oleic acid,2h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,"oleic acid,2h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898211,,I148M 2hr biol rep4
GSM8139677,Human liver cancer cell line,"oleic acid,2h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,"oleic acid,2h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898212,,I148M 2hr biol rep5
GSM8139678,Human liver cancer cell line,"oleic acid,4h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,"oleic acid,4h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898213,,I148M 4hr biol rep4
GSM8139679,Human liver cancer cell line,"oleic acid,4h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,"oleic acid,4h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898214,,I148M 4hr biol rep5
GSM8139680,Human liver cancer cell line,"oleic acid,24h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,"oleic acid,24h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898215,,I148M 24hr biol rep4
GSM8139681,Human liver cancer cell line,"oleic acid,24h",Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL16791,Hep3B217,Cancer cell,mutant PNPLA3 (PNPLA3-I148M),Human liver cancer cell line,"oleic acid,24h",SRA,Human liver cancer cell line,https://www.ncbi.nlm.nih.gov/sra?term=SRX23898216,,I148M 24hr biol rep5
