gsm,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM9775957,Liver,Illumina NovaSeq 6000,other,other,OTHER,other,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671179,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775957/suppl/GSM9775957_MASH_HCC_1T_ROI.jpg.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775957/suppl/GSM9775957_MASH_HCC_1T_glycans_proteins.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775957/suppl/GSM9775957_MASH_HCC_1T_position.txt.gz,"MASH-HCC, tumor 1, glycome, proteome"
GSM9775958,Liver,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671180,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775958/suppl/GSM9775958_MASH_HCC_1T_transcripts.tsv.gz,"MASH-HCC, tumor 1, transcriptome"
GSM9775959,Liver,Illumina NovaSeq 6000,other,other,OTHER,other,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671181,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775959/suppl/GSM9775959_MASH_HCC_2T_ROI.jpg.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775959/suppl/GSM9775959_MASH_HCC_2T_glycans_proteins.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775959/suppl/GSM9775959_MASH_HCC_2T_position.txt.gz,"MASH-HCC, tumor 2, glycome, proteome"
GSM9775960,Liver,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671182,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775960/suppl/GSM9775960_MASH_HCC_2T_transcripts.tsv.gz,"MASH-HCC, tumor 2, transcriptome"
GSM9775961,Liver,Illumina NovaSeq 6000,other,other,OTHER,other,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671183,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775961/suppl/GSM9775961_MASH_HCC_3T_ROI.jpg.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775961/suppl/GSM9775961_MASH_HCC_3T_glycans_proteins.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775961/suppl/GSM9775961_MASH_HCC_3T_position.txt.gz,"MASH-HCC, tumor 3, glycome, proteome"
GSM9775962,Liver,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671184,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775962/suppl/GSM9775962_MASH_HCC_3T_transcripts.tsv.gz,"MASH-HCC, tumor 3, transcriptome"
GSM9775963,Liver,Illumina NovaSeq 6000,other,other,OTHER,other,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671185,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775963/suppl/GSM9775963_MASH_HCC_4T_ROI.jpg.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775963/suppl/GSM9775963_MASH_HCC_4T_glycans_proteins.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775963/suppl/GSM9775963_MASH_HCC_4T_position.txt.gz,"MASH-HCC, tumor 4, glycome, proteome"
GSM9775964,Liver,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671186,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775964/suppl/GSM9775964_MASH_HCC_4T_transcripts.tsv.gz,"MASH-HCC, tumor 4, transcriptome"
GSM9775965,Liver,Illumina NovaSeq 6000,other,other,OTHER,other,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671187,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775965/suppl/GSM9775965_MASH_HCC_5T_ROI.jpg.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775965/suppl/GSM9775965_MASH_HCC_5T_glycans_proteins.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775965/suppl/GSM9775965_MASH_HCC_5T_position.txt.gz,"MASH-HCC, tumor 5, glycome, proteome"
GSM9775966,Liver,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671188,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775966/suppl/GSM9775966_MASH_HCC_5T_transcripts.tsv.gz,"MASH-HCC, tumor 5, transcriptome"
GSM9775967,Liver,Illumina NovaSeq 6000,other,other,OTHER,other,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671189,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775967/suppl/GSM9775967_MASH_HCC_6T_ROI.jpg.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775967/suppl/GSM9775967_MASH_HCC_6T_glycans_proteins.tsv.gz | ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775967/suppl/GSM9775967_MASH_HCC_6T_position.txt.gz,"MASH-HCC, tumor 6, glycome, proteome"
GSM9775968,Liver,Illumina NovaSeq 6000,other,transcriptomic,OTHER,total RNA,Homo sapiens,GPL24676,Liver,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX33671190,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9775nnn/GSM9775968/suppl/GSM9775968_MASH_HCC_6T_transcripts.tsv.gz,"MASH-HCC, tumor 6, transcriptome"
