gsm,canon__tissue,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__batch,raw__cell line,raw__cell type,raw__genotype,raw__tissue,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM9575162,Liver,Negative ctrl (BSA) 2,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Fa2N-4,Hepatocyte,WT,Liver,Negative ctrl (BSA) 2,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438606,,Fa2N4_NT_2
GSM9575163,Liver,Negative ctrl (BSA) 3,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Fa2N-4,Hepatocyte,WT,Liver,Negative ctrl (BSA) 3,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438607,,Fa2N4_NT_3
GSM9575164,Liver,Negative ctrl (BSA) 4,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Fa2N-4,Hepatocyte,WT,Liver,Negative ctrl (BSA) 4,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438608,,Fa2N4_NT_4
GSM9575165,Liver,MASLD (600 uM FFA) 1,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Fa2N-4,Hepatocyte,WT,Liver,MASLD (600 uM FFA) 1,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438609,,Fa2N4_MASLD_1
GSM9575166,Liver,MASLD (600 uM FFA) 2,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Fa2N-4,Hepatocyte,WT,Liver,MASLD (600 uM FFA) 2,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438610,,Fa2N4_MASLD_2
GSM9575167,Liver,MASLD (600 uM FFA) 3,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Fa2N-4,Hepatocyte,WT,Liver,MASLD (600 uM FFA) 3,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438611,,Fa2N4_MASLD_3
GSM9575168,Liver,MASLD (600 uM FFA) 4,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Fa2N-4,Hepatocyte,WT,Liver,MASLD (600 uM FFA) 4,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438612,,Fa2N4_MASLD_4
GSM9575169,Liver,SIM Vehicle Resmetirom 1,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Fa2N-4,Hepatocyte,WT,Liver,SIM Vehicle Resmetirom 1,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438581,,Fa2N4_SIM_Veh_RSM1
GSM9575170,Liver,SIM Vehicle Resmetirom 2,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Fa2N-4,Hepatocyte,WT,Liver,SIM Vehicle Resmetirom 2,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438582,,Fa2N4_SIM_Veh_RSM2
GSM9575171,Liver,SIM Vehicle Resmetirom 3,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL24676,1,Fa2N-4,Hepatocyte,WT,Liver,SIM Vehicle Resmetirom 3,SRA,Liver,https://www.ncbi.nlm.nih.gov/sra?term=SRX32438583,,Fa2N4_SIM_Veh_RSM3
