gsm,canon__tissue,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__tissue,sample_type,source_name,sra_relation,supplementary_files,title
GSM8650044,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856447,,Steatosis 9
GSM8650045,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856448,,Steatosis 10
GSM8650046,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856449,,Healthy 4
GSM8650047,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856450,,Fibrosis 1
GSM8650048,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856451,,Steatosis 11
GSM8650049,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856452,,Healthy 5
GSM8650050,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856453,,Healthy 6
GSM8650051,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856454,,Healthy 7
GSM8650052,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856455,,Steatosis 12
GSM8650053,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856456,,Fibrosis 2
GSM8650054,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856457,,Healthy 8
GSM8650055,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856458,,Fibrosis 3
GSM8650056,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856459,,Healthy 9
GSM8650057,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856460,,Healthy 10
GSM8650058,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856461,,Steatosis 13
GSM8650059,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856462,,Healthy 11
GSM8650060,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856463,,Healthy 12
GSM8650061,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856464,,Healthy 13
GSM8650062,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856465,,Fibrosis 4
GSM8650063,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856466,,Fibrosis 5
GSM8650064,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856467,,Fibrosis 6
GSM8650065,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856468,,Fibrosis 7
GSM8650066,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856469,,Fibrosis 8
GSM8650067,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856470,,Fibrosis 9
GSM8650068,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856471,,Fibrosis 10
GSM8650069,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856472,,Fibrosis 11
GSM8650070,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856473,,Fibrosis 12
GSM8650071,Sigmoid colon,NextSeq 2000,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL30173,Sigmoid colon,SRA,Sigmoid colon,https://www.ncbi.nlm.nih.gov/sra?term=SRX26856474,,Fibrosis 13
